id,title,severity,component,description,impact,kind,report
gas-optimization-report--evm-src--informational,Gas optimization report,Informational,evm/src,"Multiple instances were found where source code logic could be optimized to improve runtime transaction fees. This includes using `++i` instead of `i++` in loops, using `!= 0` instead of `> 0` for unsigned integers, and using custom errors instead of require statements.","Inefficient Solidity source code results in higher execution costs for users, which may negatively impact community sentiment and increase operational overhead.",Implementation,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
H-01,"An attacker possesses the capability to exhaust the entirety of liquidity within the stable swap pools by manipulating the buy function, specifically by setting the asset_in parameter equal to the asset_out parameter",High,stableswap,"The buy() function in the Stableswap pallet does not validate if the input asset is the same as the output asset. An attacker can call the buy function with asset_in equal to asset_out, which results in the calculation of amount_in to be near zero, allowing the attacker to drain funds with minimal cost.","This vulnerability allows a malicious actor to drain all liquidity from any pool in the Stableswap pallet without requiring special permissions, leading to significant financial losses for both the protocol and liquidity providers.",Input Validation,2024 H1/2401-hydradx-c4/2401-hydradx-c4.json
M-01,Users can MAKE EMA-Oracle price outdated with direct transfers to StableSwap,Medium,EMA Oracle,The EMA oracle's price information can be manipulated because direct asset transfers to the StableSwap contract do not trigger the oracle's update hooks. This causes a discrepancy between the actual asset prices in the liquidity pools and the prices reported by the oracle.,"A malicious user can intentionally create outdated prices in the oracle, which could lead to unfair liquidations or other incorrect behavior in third-party protocols that rely on this oracle for price data.",Design,2024 H1/2401-hydradx-c4/2401-hydradx-c4.json
M-02,Malicious liquidity provider can put pool into highly manipulatable state,Medium,stableswap,"The `withdraw_asset_amount()` function for withdrawing liquidity from a StableSwap pool omits a check on the total pool liquidity. This allows a malicious liquidity provider to leave a very small amount of liquidity (e.g., 1 share) in the pool, breaking the `totalPoolIssuance >= MinPoolLiquidity` invariant.",Breaking the minimum liquidity invariant makes the pool highly susceptible to price manipulation and can cause a denial-of-service for other users trying to withdraw liquidity via other functions that correctly check the invariant.,Implementation,2024 H1/2401-hydradx-c4/2401-hydradx-c4.json
M-03,No slippage check in remove_liquidity function in omnipool can lead to slippage losses during liquidity withdrawal.,Medium,omnipool,The `remove_liquidity` function in the omnipool pallet does not have a `minimum_amount_out` parameter or any other form of slippage protection. This allows a malicious user to frontrun a liquidity withdrawal transaction with a swap that negatively impacts the price.,"Liquidity providers can suffer significant slippage losses when withdrawing their funds, as a frontrunner can manipulate the asset price between the time the transaction is submitted and when it is executed.",Implementation,2024 H1/2401-hydradx-c4/2401-hydradx-c4.json
M-04,Complete liquidity removals fail from stableswap pools,Medium,stableswap,"When a user attempts to remove the entire liquidity of a stableswap pool, the transaction reverts due to an arithmetic overflow. The internal mathematics of the stableswap algorithm fail when there is no liquidity remaining.","This issue can lead to temporarily locked funds in edge cases, as the initial liquidity provider cannot remove their entire position from the pool once it's established.",Implementation,2024 H1/2401-hydradx-c4/2401-hydradx-c4.json
M-05,No safe_withdrawal option in withdraw_protocol_liquidity function in omnipool can be abused by frontrunners to cause losses to the admin when removing liquidity,Medium,omnipool,"The `withdraw_protocol_liquidity` function, used by the admin, lacks a slippage protection mechanism. The admin must pass in a price parameter, but a frontrunner can manipulate the spot price to be different from the price passed in, causing the admin to eat losses.","If the spot price is manipulated after the admin submits the transaction, the protocol can suffer significant losses due to slippage, which can be much higher than the standard limits because the check is missing entirely.",Access Control,2024 H1/2401-hydradx-c4/2401-hydradx-c4.json
M-06,complete liquidity removal will result in permanent disable of the liquidity addition and prevent minting shares for the liquidity providers.,Medium,omnipool,"If all liquidity is removed from an omnipool asset pool, the asset_reserve and shares become zero. The `add_liquidity` function cannot handle this state and will always revert due to a division-by-zero error when trying to calculate new shares to mint.","This creates a permanent denial-of-service for the affected asset pool. No new liquidity can ever be added, and trading is disabled forever, leading to a loss of funds for the protocol and users.",Implementation,2024 H1/2401-hydradx-c4/2401-hydradx-c4.json
M-07,Re-adding assets to the omnipool can cause a problem with the oracle,Medium,omnipool,"When an asset is removed from the omnipool, its data records are deleted from the omnipool state, but not from the EMA oracle. If the asset is added back later at a different price, the oracle calculates the new price using stale, historical data from before the asset was removed.","The oracle will report a falsified, incorrect price for the re-added asset for a period of time. This can cause transactions to fail and could be exploited by protocols that rely on this oracle.",Implementation,2024 H1/2401-hydradx-c4/2401-hydradx-c4.json
M-08,Storage can be bloated with low value liquidity positions,Medium,omnipool,"A malicious user can create a large number of very small liquidity positions. By depositing the minimum required liquidity and then withdrawing all but one token, the user can bloat the `Positions` storage map with dust entries at a very low cost.","This constitutes a denial-of-service attack by bloating the chain's storage. The protocol itself must bear the storage costs for these dust positions, which can hinder functionality.",Design,2024 H1/2401-hydradx-c4/2401-hydradx-c4.json
M-09,Missing hook call will lead to incorrect oracle results,Medium,omnipool,"The `remove_token` function in the omnipool, which transfers all remaining protocol-owned liquidity to a beneficiary, fails to call the `on_liquidity_changed` hook. This hook is responsible for updating the EMA oracle and circuit breaker with the new state.",The oracle and circuit breaker will have outdated information about the pool's liquidity. This can lead to incorrect price reporting by the oracle and the failure of security measures that rely on accurate liquidity data.,Implementation,2024 H1/2401-hydradx-c4/2401-hydradx-c4.json
M-10,A huge loss of funds for all the users who try to remove liquidity after swapping got disabled at manipulated price.,Medium,omnipool,"The `set_asset_tradable_state` function can be used to disable swaps on an asset while still allowing liquidity removal, but it does not check if the oracle price is stable. An attacker can manipulate the price, disable swaps, and then front-run users who try to remove liquidity.","When a user removes liquidity while the price is manipulated and swaps are disabled, the `calculate_withdrawal_fee` function can calculate a 100% fee. This results in the user losing their entire liquidity position.",Design,2024 H1/2401-hydradx-c4/2401-hydradx-c4.json
double-spending-of-tokens-via-infinite-staking-on-unlock--pallets-dapp-staking-v3--critical,Double spending of tokens via infinite staking on unlock,Critical,pallets/dapp-staking-v3,"The unlocking logic in dapp-staking-v3 allows an attacker to double spend tokens. A user can unlock tokens, transfer them to another account, and then use the 'relock_unlocking' function to make the non-existent tokens available for staking again in the original account.","An attacker can stake the same tokens multiple times across different accounts, leading to gaining undue rewards and potentially tampering with the network's inflation scheme.",Implementation,2024 H1/2401-astar-srl/2401-astar-srl.json
payouts-round-down-to-zero-for-collator-and-treasury-rewards--pallets-inflation--high,Payouts round down to zero for collator and treasury rewards,High,pallets/inflation,"Due to integer division in the inflation calculation logic, the rewards per block for collators and the treasury can be rounded down to zero. This occurs if the configured emission rate for a cycle is smaller than the number of blocks in that cycle.","Collators may not receive rewards for producing blocks, which could deter participation and disrupt the staking mechanism. This breaks the economic model and could lead to free balances floating in the system.",Implementation,2024 H1/2401-astar-srl/2401-astar-srl.json
unregistered-dapps-not-removed-from-storage--pallets-dapp-staking-v3--medium,Unregistered dApps not removed from storage,Medium,pallets/dapp-staking-v3,"When a dApp is unregistered, its state is marked as 'Unregistered' but it is not removed from the 'IntegratedDApps' storage count. This count is checked against the 'MaxNumberOfContracts' limit, meaning that over time, the accumulation of unregistered dApps can prevent new, valid dApps from registering.","This can prevent new dApp developers from registering their applications, effectively halting ecosystem growth. It would require a manual and expensive runtime upgrade to fix by increasing the limit or cleaning the storage.",Implementation,2024 H1/2401-astar-srl/2401-astar-srl.json
loyal-staker-status-can-be-abused--pallets-dapp-staking-v3--low,Loyal staker status can be abused,Low,pallets/dapp-staking-v3,"A staker achieves 'loyal' status by staking at least once in a voting period. However, they can unstake their entire balance within the same period and still retain this loyal status for the next period, despite having no active stake.","This flaw disrupts the concept of loyalty, as a staker with zero balance maintains a privileged status. This could be exploited if dApp developers use the 'loyal staker' status for special payouts or other privileges.",Design,2024 H1/2401-astar-srl/2401-astar-srl.json
potential-spamming-attack-via-unsigned-dispatch-permit-extrinsic--pallet-transaction-multi-payment--medium,Potential spamming attack via unsigned dispatch_permit extrinsic,Medium,pallet-transaction-multi-payment,"The `dispatch_permit` extrinsic allows for unsigned transactions that perform computationally heavy validation. Since the extrinsic is unsigned, no fees are paid, creating an attack vector. This can be exploited by submitting numerous unsigned extrinsics, potentially leading to a denial-of-service (DoS) attack on the network.","An attacker can spam the network with unsigned transactions, causing high computational load on collators/validators, network congestion, and performance degradation, effectively slowing down the chain.",Design,2024 H1/2405-hydradx-srl/2405-hydradx-srl.json
the-mapping-between-ethereum-and-substrate-addresses-could-create-unwanted-behavior--pallet-evm-accounts--informational,The mapping between Ethereum and Substrate addresses could create unwanted behavior,Informational,pallet-evm-accounts,"The system maps EVM addresses to Substrate addresses by creating a truncated address, which is against best practices and reduces address entropy. When a user transfers funds to an EVM address that is not bound to a Substrate account, the funds are sent to a truncated address that cannot be claimed by any user.",Legitimate users could permanently lose funds by unintentionally transferring them to an EVM address that does not have a corresponding bound Substrate account.,Design,2024 H1/2405-hydradx-srl/2405-hydradx-srl.json
weight-calculation--assets-pallet-chain-extension--low,Weight calculation,Low,Assets Pallet Chain Extension,"All the assets pallet functions exposed by the chain extension are weighted with a constant amount. Two functions, MetadataSymbol and MetadataName, operate on a variable amount of data, but they also only account for one runtime database read operation.","While using a constant weight is not believed to cause significant issues, the currently used weights do not fairly represent the load imposed on the network by smart contracts invoking the operations exposed by the extension.",Implementation,2024 H1/2401-astar-zellic/2401-astar-zellic.json
unexposed-functionality--assets-pallet-chain-extension--informational,Unexposed functionality,Informational,Assets Pallet Chain Extension,"The chain extension does not expose all the functionality available from the assets pallet, which is a deliberate and documented choice. For instance, the extension exposes the `approve_transfer` function but not the corresponding `cancel_approval` function, preventing the revocation of approvals.","Smart contracts are able to grant approval over an asset to other addresses, but they are unable to revoke that approval, as the allowance can only be increased.",Design,2024 H1/2401-astar-zellic/2401-astar-zellic.json
issue-8,All XCM fee payments are waived due to setting FeeManager to the unit type,High,Tinkernet Runtime,The current XcmConfig for both the tinkernet and invarch runtimes effectively waives all fee payments by configuring the FeeManager to a unit type. This renders fee-based congestion control ineffective as no fees are actually charged for XCM transactions.,"Attackers can cause network congestion by sending a high volume of transactions at no cost, potentially leading to long delivery delays, storage exhaustion, or the dropping of messages.",Configuration,2024 H1/2402-invarch-srl/2402-invarch-srl.json
issue-7,No XCM delivery fees configured for sibling parachain messages,High,Tinkernet Runtime,No fees are charged for delivering XCM messages across parachains because the `PriceForSiblingDelivery` in the tinkernet runtime configuration is set to zero. This allows for free cross-chain messaging.,"Attackers can send spam messages to other chains without paying a fee, potentially causing XCM queue exhaustion and delays in message delivery for legitimate users.",Configuration,2024 H1/2402-invarch-srl/2402-invarch-srl.json
issue-6,Underestimated worst-case weight for OcifStaking::unregister_core,High,OCIF Pallet,"The `unregister_core` extrinsic in the OcifStaking pallet underestimates its worst-case execution weight by a factor of 100. A single call can unstake up to `MaxStakersPerCore` unique stakers, but the weight calculation does not properly account for this.","The underestimated weight allows an attacker to create overweight blocks, which can cause block production timeouts, slow down transaction processing, and potentially stall the chain.",Implementation,2024 H1/2402-invarch-srl/2402-invarch-srl.json
issue-5,Incorrect runtime weights for XCM and a set of pallets,High,Tinkernet Runtime,"In the tinkernet runtime, weights for the XCM pallet and several other pallets (e.g., orml_tokens, orml_currencies) are configured to zero. This makes their extrinsics effectively free to execute.","This misconfiguration allows an attacker to spam the network and bloat storage at no cost, and can lead to the creation of overweight blocks that cause block production timeouts.",Implementation,2024 H1/2402-invarch-srl/2402-invarch-srl.json
issue-1,Missing decode depth limit in INV4 pallet allows stack exhaustion,High,INV4 Pallet,The INV4 pallet's `vote_multisig` extrinsic decodes an encoded call without enforcing a depth limit. This allows for a deeply nested call to be processed.,"An attacker can craft a malicious call with excessive nesting, causing stack exhaustion when it is decoded. This will lead to a crash of the wasm runtime, impacting node availability.",Implementation,2024 H1/2402-invarch-srl/2402-invarch-srl.json
issue-4,Incorrect benchmarks for dependency Substrate-native pallets,Medium,Tinkernet runtime,The runtime benchmarks for several FRAME pallet dependencies are based on the generic substrate-node template instead of the actual InvArch runtime. This can lead to inaccurate weight calculations for their extrinsics.,"Incorrectly weighted extrinsics (either over or under) can be exploited by an attacker to create overweight blocks, leading to block production timeouts and reduced network performance.",Implementation,2024 H1/2402-invarch-srl/2402-invarch-srl.json
issue-3,Malicious users can bloat storage at little cost via operate_multisig,Medium,INV4 Pallet,"The `operate_multisig` extrinsic allows a user to insert a significant amount of data (metadata and a call, up to 60kb) into storage at a low cost. An attacker can repeatedly call this to fill up storage.","A malicious user can clutter storage by creating numerous multisig objects, consuming state storage and potentially degrading network performance without incurring proportional costs.",Implementation,2024 H1/2402-invarch-srl/2402-invarch-srl.json
issue-9,Incorrect weight returned by pallet_checked_inflation::on_initialize,Low,Checked Inflation Pallet,The `on_initialize` hook in the `pallet_checked_inflation` pallet returns a weight value that does not accurately reflect the number of storage reads and writes it performs. This underestimates the actual runtime resources required for its execution.,"While not directly exploitable, the wrongly estimated weight affects the remaining runtime budget of every block, which could cause block deadlines to be missed if a costly extrinsic is included.",Implementation,2024 H1/2402-invarch-srl/2402-invarch-srl.json
issue-2,Unconditional call decoding in vote_multisig is inefficient and potentially inflates weight,Informational,INV4 Pallet,"The `vote_multisig` extrinsic decodes a proposed call from storage on every vote, even before checking if the voting thresholds have been met. The decoded call is only needed if the proposal is approved for execution.","This leads to unnecessary resource consumption, as the call is decoded with every vote. For multisigs with many participants and proposals, this creates computational overhead.",Process,2024 H1/2402-invarch-srl/2402-invarch-srl.json
H-01,transfer_share_and_rewards allows for self transfer,High,rewards library,The rewards library contains the `transfer_share_and_rewards` function which allows for self-transfer. This can be exploited by a user to double their shares and rewards balance.,"A user can repeatedly call this function to infinitely increase their share and rewards balance, effectively stealing funds from the protocol.",Implementation,2024 H1/2401-acala-c4/2401-acala-c4.json
H-O2,Early user can break pool via inflation attack due to no minimum liquidity check in the incentive contract,High,incentive contract,The incentive contract does not enforce a minimum liquidity limit. This allows a user to create a pool with very little liquidity and perform an inflation attack by repeatedly depositing a small number of shares to inflate the total shares without affecting the reward calculation.,"The attack breaks the reward inflation mechanism, allowing the attacker to steal reward tokens from other users in the pool.",Design,2024 H1/2401-acala-c4/2401-acala-c4.json
H-03,transfer_share_and_rewards can be used to transfer out shares without transferring reward debt due to rounding,High,rewards library,"The calculation for `move_balance` in the `transfer_share_and_rewards` function rounds down. An attacker can construct a transaction where a small fraction of shares are transferred, causing the reward debt calculation to round to zero. The receiving account gets shares but no reward debt.","The receiving account can claim rewards that have already been accounted for by the sender's debt, allowing for rewards to be drained from the pool.",Implementation,2024 H1/2401-acala-c4/2401-acala-c4.json
M-01,"Claiming rewards while the deduction rate is != 0, allows for repeated withdrawal of redistributed rewards",Medium,rewards module,"When a user claims rewards, any applied deduction is redistributed to all participants in the pool, including the user who just claimed. This allows the user to repeatedly claim a portion of the rewards that were just deducted.",A user can claim more rewards than they are entitled to over time by repeatedly claiming their share of the redistributed deductions.,Design,2024 H1/2401-acala-c4/2401-acala-c4.json
M-02,Incentive accumulation can be sandwiched with additional shares to gain advantage over long-term depositors,Medium,incentives module,A user can deposit a large amount of shares immediately before incentive rewards are accumulated and then withdraw them immediately after. This 'sandwich' attack does not require a long-term deposit to earn rewards.,An attacker can use this strategy to obtain an unfairly high share of the rewards at the expense of long-term depositors.,Design,2024 H1/2401-acala-c4/2401-acala-c4.json
M-03,Unbond_instant removes incorrect amount of shares,Medium,earning module,The `unbond_instant` function calculates a fee but then calls the `OnUnbonded` hook with the post-fee amount. This results in the fee portion of the shares not being removed from the user's bonded amount.,"A portion of the user's shares remains in the reward system and continues to accumulate rewards, even though they should have been fully unbonded. These shares become stuck.",Implementation,2024 H1/2401-acala-c4/2401-acala-c4.json
M-04,Storage can be bloated with low liquidity positions,Medium,incentives module,"The `deposit_dex_share` function does not enforce a minimum deposit amount. This allows an attacker to create a massive number of positions with minimal liquidity (e.g., 1 wei) for a very low cost.","This can bloat the runtime storage, leading to high maintenance costs for the chain and creating a potential denial-of-service (DoS) vector.",Input Validation,2024 H1/2401-acala-c4/2401-acala-c4.json
O1,Admin is a single point of failure,Low,incentives module,The permission to update incentive-related parameters is controlled by a single `UpdateOrigin` configuration. There is no backup or alternative method to change these parameters.,"If access to the `UpdateOrigin` account is lost or compromised, it would become impossible to manage the incentive system, potentially bricking its functionality.",Access Control,2024 H1/2401-acala-c4/2401-acala-c4.json
O2,Consider adding better documentation,Informational,unspecified,Several complex functions within the codebase lack sufficient documentation. This makes it difficult for auditors and developers to understand the intended behavior and mathematical logic.,Poor documentation slows down security audits and increases the risk of incorrect integration or misuse of the protocol's functions.,Documentation,2024 H1/2401-acala-c4/2401-acala-c4.json
O3,Setters should always have equality checkers,Low,unspecified,"Setter functions, such as `set_share`, do not check if the new value is different from the current value. This leads to unnecessary state changes and triggers events even when nothing changes.",This results in wasted gas from unnecessary code execution and can introduce subtle bugs if other logic relies on the assumption that a state change implies a value change.,Implementation,2024 H1/2401-acala-c4/2401-acala-c4.json
O4,OnUpdateLoan::happened() should check for when adjustment == 0,Low,unspecified,"The `OnUpdateLoan::happened` function, which settles adjustments, does not explicitly handle cases where the adjustment is zero. The logic defaults to an attempt to remove zero shares, which is an unnecessary operation.","The lack of precise input validation leads to inefficient and slightly flawed code structure, executing unnecessary operations.",Input Validation,2024 H1/2401-acala-c4/2401-acala-c4.json
O5,Protocol does not apply deadlines when dealing with critical operations,Low,unspecified,"Critical operations such as `do_deposit_dex_share` and `do_withdraw_dex_share` lack a deadline parameter. A user's transaction could remain pending in the mempool and be executed much later at a different, potentially unfavorable, price.","Users may lose funds if their transactions are executed long after they were submitted, under different market conditions than they intended.",Design,2024 H1/2401-acala-c4/2401-acala-c4.json
O6,Fix typos,Informational,unspecified,"The codebase contains several typographical errors in code comments and documentation. For example, 'avalailable' instead of 'available'.","Typos reduce code clarity and professionalism, and can occasionally lead to misunderstandings of intent.",Documentation,2024 H1/2401-acala-c4/2401-acala-c4.json
O7,Consider using BST instead,Informational,unspecified,The report notes that reward information is stored in a B-Tree map. It suggests that a balanced binary search tree (BST) could be a more performant data structure for this use case.,"The current data structure choice may not be the most optimal, leading to slightly higher computational costs for searching and accessing reward data.",Design,2024 H1/2401-acala-c4/2401-acala-c4.json
O8,Consider not switching off important clippy protection methods,Informational,unspecified,"The project configuration disables several useful lints from Clippy, Rust's static analysis tool, such as `clippy::unused_unit`. These lints are designed to catch common mistakes and improve code quality.","Disabling protective lints can allow flawed or poorly structured code to be committed, potentially hiding underlying bugs or design issues.",Process,2024 H1/2401-acala-c4/2401-acala-c4.json
S2-47,Incorrect gas weighting may stall block production,Medium,runtime/moonbeam,"The gas cost for the EVM's extcodesize opcode is converted to a static Substrate weight. An attacker can call extcodesize on a non-existent address, which forces two computationally expensive storage reads. This circumvents protections that normally prevent large contract deployments from having incorrectly low gas-to-weight calculations.","If exploited over XCM, the forced execution of these overweight operations could lead to blocks that are too large, resulting in a denial-of-service condition for the Moonbeam network.",Implementation,2024 H1/2401-moonbeam-srl/2401-moonbeam-srl-audit-report.json
S2-51,Incorrect configuration of runtime weights,Medium,Runtime,"Multiple pallets (including cumulus-pallet-parachain-system, cumulus-pallet-dmp-queue, and pallet-message-queue) in the Moonbeam, Moonbase, and Moonriver runtimes were incorrectly configured to use default, non-benchmarked Substrate weights. This means the declared cost of operations did not reflect their actual computational cost.","Using non-benchmarked weights can lead to the creation of overweight extrinsics. This may cause blocks to be rejected by the relay-chain during validation, leading to network availability issues.",Configuration,2024 H1/2401-moonbeam-srl/2401-moonbeam-srl-audit-report.json
M-01,Limited availability of balance_of(...) method,Medium,Phat Contract Runtime,"The `balance_of` method is incorrectly restricted to be callable only by the system contract due to an `ensure_system` check. According to the provided documentation, this method should be available to any contract.","User contracts relying on the `balance_of` method as per the documentation will fail, as they do not have the required system-level origin to pass the check.",Access Control,2024 H1/2401-phala-c4/2401-phala-c4.json
M-02,An attacker can bloat the Pink runtime storage with zero costs,Medium,Pink runtime,"The `ExistentialDeposit` constant in the Pink runtime is set to 1, an extremely low value. This allows an attacker to create a vast number of dust accounts for a negligible cost, leading to storage bloat.",A storage bloat attack increases storage and processing costs for all users on the network and can degrade overall performance.,Configuration,2024 H1/2401-phala-c4/2401-phala-c4.json
M-03,A cache that times out can be recovered,Medium,LocalCache,"The `LocalCache#set_expire` function allows resetting the expiration time for a key without checking if the key has already expired. This can lead to the 'reactivation' of an expired key, causing stale data to be treated as valid.","An attacker can force the system to reuse stale data by reactivating expired cache entries, potentially leading to data inconsistency, incorrect logic execution, or price manipulation if the cache is used for off-chain data like price feeds.",Implementation,2024 H1/2401-phala-c4/2401-phala-c4.json
M-04,An attacker can crash the cluster system by sending an HTTP request with a huge timeout,Medium,Phat Contract Runtime,"In the `batch_http_request` function, a fixed value of 200ms is added to the user-supplied timeout. If a user provides a timeout value close to the maximum for a u64 integer, this addition causes an arithmetic overflow, leading to a panic.","Any user can intentionally send a crafted request with a large timeout value, causing the worker process to crash. This can be used to execute a Denial of Service (DoS) attack against the entire cluster at no cost to the attacker.",Input Validation,2024 H1/2401-phala-c4/2401-phala-c4.json
01,No point in using regular http request over batchhttperequest,Informational,Phat Contract Runtime,"The `batchhttprequest` function is not restricted to handling multiple requests and can be used for a single request. It offers a longer timeout bound, making it strictly superior to the singular `httprequest` function.",The presence of a seemingly inferior function (`httprequest`) can cause confusion for developers and lead to less robust implementation choices.,Design,2024 H1/2401-phala-c4/2401-phala-c4.json
02,CallinCommand is misleading and should be renamed callinTransaction for clarity,Informational,Phat Contract Runtime,The name `CallinCommand` is ambiguous. Renaming it to `callinTransaction` would more clearly reflect its purpose and improve code readability.,Misleading names can lead to developer confusion and potential misuse of the function.,Documentation,2024 H1/2401-phala-c4/2401-phala-c4.json
03,is_running_in_command function is missing or misnamed in the code,Informational,Phat Contract Runtime,The function `is_running_in_command` mentioned in documentation appears to be implemented as `is_it_in_transaction` in the code. This discrepancy should be corrected.,Inconsistency between documentation and code can hinder development and maintenance.,Documentation,2024 H1/2401-phala-c4/2401-phala-c4.json
04,Functions that are not supported in transaction mode should revert not send empty arrays,Informational,Phat Contract Runtime,"Functions that are not supported in a specific transaction mode return empty arrays instead of reverting. This can be misleading to callers who might interpret an empty array as a valid, empty result set.",Returning empty arrays instead of reverting on unsupported operations can lead to silent failures and bad developer experience.,Design,2024 H1/2401-phala-c4/2401-phala-c4.json
05,Masking deposit calculation can lead to unexpected results in certain circumstances,Low,Phat Contract Runtime,"The `mask_deposit` function uses complex bit math to mitigate side-channel attacks. However, the invariant that the masked deposit must be greater than or equal to the original deposit can be broken with a specific `deposit_per_byte` value.","If a malicious cluster creator sets a problematic `deposit_per_byte` value, it could open up the side-channel attack that the masking function is intended to prevent.",Implementation,2024 H1/2401-phala-c4/2401-phala-c4.json
06,is_in_transaction return value can be misleading,Informational,Phat Contract Runtime,"The `is_in_transaction` function returns true when a call is in estimating mode, because estimation mode is treated the same as a transaction. This is misleading, as no transaction is actually being executed.","The misleading return value could cause developers to make incorrect assumptions about the execution context, leading to logic errors in contracts.",Implementation,2024 H1/2401-phala-c4/2401-phala-c4.json
07,No code size limit check in function put_sidevm_code,Informational,Phat Contract Runtime,"The function `put_sidevm_code` does not perform a size limit check on the code being uploaded. While an on-chain limit exists, adding a check in this function would be a good practice.","Lack of an explicit check could lead to unexpected behavior if the on-chain limit changes or is removed, and it represents a missed defense-in-depth opportunity.",Implementation,2024 H1/2401-phala-c4/2401-phala-c4.json
missing-benchmarking-for-the-lockdrop-precompile-dispatch--precompiles-dispatch-lockdrop--informational,Missing benchmarking for the lockdrop precompile dispatch,Informational,precompiles/dispatch-lockdrop,"The precompile dispatch-lockdrop has an un-benchmarked weight_to_gas estimation. A static ref_time is used for weight calculation, which can lead to an underestimation of the weights and does not reflect the actual runtime environment.",An attacker may be able to spam the chain and conduct denial of service attacks cheaply in comparison to the actual transaction cost.,Implementation,2024 H1/2403-astar-srl/2403-astar-sr.json
unbounded-call-length-limit-in-lockdrop-dispatch-call--precompiles-dispatch-lockdrop--low,Unbounded call length limit in lockdrop dispatch call,Low,precompiles/dispatch-lockdrop,"The precompile dispatch call uses the `UnboundedBytes` type without any length validation for the call object parameter. An unbounded call with a large `call_length` can be moved into a vector before decoding, creating a potential for heap overflow.","An attacker can create multiple nested calls to bloat the call_length, which can cause a heap overflow and lead to a denial of service.",Input Validation,2024 H1/2403-astar-srl/2403-astar-sr.json
S3-55,Constructing smart contract can bypass precompile address bounding,High,/precompiles/src/precompile_set.rs,"The access control check intended to prevent smart contracts from calling certain precompiles can be bypassed. The check incorrectly assumes that an account with a code length of zero must be an externally owned account, but this condition is also true for smart contracts that are under construction.","Attackers can bypass the filter and call precompiles that should be restricted, potentially leading to complex logic-based attacks. This is especially risky for third-party developers who rely on this security assumption.",Access Control,2025 Q2/frontier-srlabs-2505/frontier-srlabs-2505.json
S2-59,Missing check_inherent for note_min_gas_price_target inflates gas price,Medium,/frame/dynamic-fee/src/lib.rs,"The inherent extrinsic `note_min_gas_price_target` lacks a `check_inherent` function, which is necessary to allow network nodes to verify the data submitted by the block producer. This omission allows a block producer to set the minimum gas price target without any validation from the network.","A malicious block producer could repeatedly set the gas price to its maximum allowed value, causing transaction fees to inflate continuously. This would render contract execution prohibitively expensive, leading to a denial-of-service.",Implementation,2025 Q2/frontier-srlabs-2505/frontier-srlabs-2505.json
S2-58,Silent failure in Curve25519 arithmetic precompiles with malformed points,Medium,/frame/evm/precompile/curve25519/src/lib.rs,"The Curve25519 arithmetic precompiles do not correctly handle invalid Ristretto point representations. Instead of returning an error, they silently treat malformed inputs as the cryptographic identity element, which can lead to incorrect results in cryptographic operations.","This flaw could be abused to bypass cryptographic checks, such as compromising key exchanges or enabling signature forgery in multi-signature schemes by submitting invalid points that are incorrectly counted towards the threshold.",Cryptography,2025 Q2/frontier-srlabs-2505/frontier-srlabs-2505.json
S2-57,Various underpriced precompiles can lead to DoS attack,Medium,/frame/evm/precompile/*,"Several precompiles, notably `Curve25519Add`, have a gas cost that is significantly lower than their actual computational cost. Benchmarks show that this precompile requires about ten times more CPU time than another precompile with the same gas cost, indicating improper benchmarking.","An attacker could exploit this by crafting transactions that call the underpriced precompiles, consuming excessive CPU resources while paying minimal fees. This could slow down or halt block production, resulting in a network denial-of-service.",Implementation,2025 Q2/frontier-srlabs-2505/frontier-srlabs-2505.json
S0-56,FeeMultiplierUpdate not set to a TargetedFeeAdjustment type,Informational,/template/runtime/src/lib.rs,"The provided runtime template for Frontier developers configures network fees to use a constant multiplier. This means that transaction fees do not automatically adjust to network congestion, as the fee calculation does not account for current network usage.","Since fees do not reflect network congestion, an attacker could censor transactions by flooding the network and paying only the base fee. This could cause a denial-of-service against zero-tip transactions for an extended period.",Configuration,2025 Q2/frontier-srlabs-2505/frontier-srlabs-2505.json
missing-validation-for-point-at-infinity--micro-sr25519--medium,Missing validation for point at infinity,Medium,micro-sr25519,"The audit identified that there is no validation to ensure the public key is not the point at infinity. Because scalar multiplication by zero yields the identity, an attacker could use the identity point as a public key to pass signature verification without possessing a corresponding secret key.","This vulnerability could allow an attacker to forge signatures that would be accepted as valid, potentially leading to unauthorized actions or transaction spoofing.",Implementation,2025 Q2/microsr25519-oak-2504/microsr25519-oak-2504.json
ambiguous-transcript-construction-due-to-empty-label--micro-sr25519--medium,Ambiguous transcript construction due to empty label,Medium,micro-sr25519,"The `label` method within `SigningContext` uses an empty string, which is problematic for the Merlin transcript system it employs. In Merlin, labels are essential for domain separation and context binding to prevent state collisions.","Using an empty label can lead to ambiguous or overlapping transcript states, which undermines the uniqueness guarantees of cryptographic signatures and could allow for potential forgery.",Cryptography,2025 Q2/microsr25519-oak-2504/microsr25519-oak-2504.json
